geo_hash, rel_nfnv_prod_count,fnv_prod_count,prod_count,stores_count,sub_cat_count
tdr0vp5,317,166,2853,1,212
tdr0vp6,317,166,2853,1,212
tdr0vp7,317,166,2853,1,212
tdr0vp8,317,166,2853,1,212
tdr0vp9,317,166,2853,1,212
tdr0vpb,317,166,2853,1,212
tdr0vpc,317,166,2853,1,212
tdr0vpd,317,166,2853,1,212
tdr0vpe,317,166,2853,1,212
tdr0vpf,317,166,2853,1,212
tdr0vpg,317,166,2853,1,212
tdr0vph,317,166,2853,1,212
tdr0vpj,317,166,2853,1,212
tdr0vpk,317,166,2853,1,212
tdr0vpm,317,166,2853,1,212
tdr0vpn,317,166,2853,1,212
tdr0vpp,317,166,2853,1,212
tdr0vpq,317,166,2853,1,212
tdr0vpr,317,166,2853,1,212
tdr0vps,317,166,2853,1,212
tdr0vpt,317,166,2853,1,212
tdr0vpu,317,166,2853,1,212
tdr0vpv,317,166,2853,1,212
tdr0vpw,317,166,2853,1,212
tdr0vpx,317,166,2853,1,212
tdr0vpy,317,166,2853,1,212
tdr0vpz,317,166,2853,1,212
tdr0vq0,317,166,2853,1,212
tdr0vq1,317,166,2853,1,212
tdr0vq2,317,166,2853,1,212
tdr0vq3,317,166,2853,1,212
tdr0vq4,317,166,2853,1,212
tdr0vq5,317,166,2853,1,212
tdr0vq6,317,166,2853,1,212
tdr0vq7,317,166,2853,1,212
tdr0vq8,317,166,2853,1,212
tdr0vq9,317,166,2853,1,212
tdr0vqb,317,166,2853,1,212
tdr0vqc,317,166,2853,1,212
tdr0vqd,317,166,2853,1,212
tdr0vqe,317,166,2853,1,212
tdr0vqf,317,166,2853,1,212
tdr0vqg,317,166,2853,1,212
tdr0vqh,317,166,2853,1,212
tdr0vqj,317,166,2853,1,212
tdr0vqk,317,166,2853,1,212
tdr0vqm,317,166,2853,1,212
tdr0vqn,317,166,2853,1,212
tdr0vqp,317,166,2853,1,212
tdr0vqq,317,166,2853,1,212
tdr0vqr,317,166,2853,1,212
tdr0vqs,317,166,2853,1,212
tdr0vqt,317,166,2853,1,212
tdr0vqu,317,166,2853,1,212
tdr0vqv,317,166,2853,1,212
tdr0vqw,317,166,2853,1,212
tdr0vqx,317,166,2853,1,212
tdr0vqy,317,166,2853,1,212
tdr0vqz,317,166,2853,1,212
tdr0vr0,317,166,2853,1,212
tdr0vr1,317,166,2853,1,212
tdr0vr2,317,166,2853,1,212
tdr0vr3,317,166,2853,1,212
tdr0vr4,317,166,2853,1,212
tdr0vr5,317,166,2853,1,212
tdr0vr6,317,166,2853,1,212
tdr0vr7,317,166,2853,1,212
tdr0vr8,317,166,2853,1,212
tdr0vr9,317,166,2853,1,212
tdr0vrb,317,166,2853,1,212
tdr0vrc,317,166,2853,1,212
tdr0vrd,317,166,2853,1,212
tdr0vre,317,166,2853,1,212
tdr0vrf,317,166,2853,1,212
tdr0vrg,317,166,2853,1,212
tdr0vrh,317,166,2853,1,212
tdr0vrj,317,166,2853,1,212
tdr0vrk,317,166,2853,1,212
tdr0vrm,317,166,2853,1,212
tdr0vrn,317,166,2853,1,212
tdr0vrp,317,166,2853,1,212
tdr0vrq,317,166,2853,1,212
tdr0vrr,317,166,2853,1,212
tdr0vrs,317,166,2853,1,212
tdr0vrt,317,166,2853,1,212
tdr0vru,317,166,2853,1,212
tdr0vrv,317,166,2853,1,212
tdr0vrw,317,166,2853,1,212
tdr0vrx,317,166,2853,1,212
tdr0vry,317,166,2853,1,212
tdr0vrz,317,166,2853,1,212
tdr0vt0,317,166,2853,1,212
tdr0vt1,317,166,2853,1,212
tdr0vt2,317,166,2853,1,212
tdr0vt3,317,166,2853,1,212
tdr0vt4,317,166,2853,1,212
tdr0vt5,317,166,2853,1,212
tdr0vt6,317,166,2853,1,212
tdr0vt7,317,166,2853,1,212
tdr0vt8,317,166,2853,1,212
tdr0vt9,317,166,2853,1,212
tdr0vtb,317,166,2853,1,212
tdr0vtc,317,166,2853,1,212
tdr0vtd,317,166,2853,1,212
tdr0vte,317,166,2853,1,212
tdr0vtf,317,166,2853,1,212
tdr0vtg,317,166,2853,1,212
tdr0vth,317,166,2853,1,212
tdr0vtj,317,166,2853,1,212
tdr0vtk,317,166,2853,1,212
tdr0vtm,317,166,2853,1,212
tdr0vtn,317,166,2853,1,212
tdr0vtp,317,166,2853,1,212
tdr0vtq,317,166,2853,1,212
tdr0vtr,317,166,2853,1,212
tdr0vts,317,166,2853,1,212
tdr0vtt,317,166,2853,1,212
tdr0vtu,317,166,2853,1,212
tdr0vtv,317,166,2853,1,212
tdr0vtw,317,166,2853,1,212
tdr0vtx,317,166,2853,1,212
tdr0vty,317,166,2853,1,212
tdr0vtz,317,166,2853,1,212
tdr0vv0,317,166,2853,1,212
tdr0vv1,317,166,2853,1,212
tdr0vv2,317,166,2853,1,212
tdr0vv3,317,166,2853,1,212
tdr0vv4,317,166,2853,1,212
tdr0vv5,215,0,1995,1,182
tdr0vv6,317,166,2853,1,212
tdr0vv7,317,166,2853,1,212
tdr0vv8,317,166,2853,1,212
tdr0vv9,317,166,2853,1,212
tdr0vvb,317,166,2853,1,212
tdr0vvc,317,166,2853,1,212
tdr0vvd,317,166,2853,1,212
tdr0vve,317,166,2853,1,212
tdr0vvf,317,166,2853,1,212
tdr0vvg,317,166,2853,1,212
tdr0vvh,215,0,1995,1,182
tdr0vvj,215,0,1995,1,182
tdr0vvk,317,166,2853,1,212
tdr0vvm,317,166,2853,1,212
tdr0vvn,215,0,1995,1,182
tdr0vvp,215,0,1995,1,182
tdr0vvq,215,0,1995,1,182
tdr0vvr,215,0,1995,1,182
tdr0vvs,317,166,2853,1,212
tdr0vvt,317,166,2853,1,212
tdr0vvu,317,166,2853,1,212
tdr0vvv,317,166,2853,1,212
tdr0vvw,317,166,2853,1,212
tdr0vvx,215,0,1995,1,182
tdr0vvy,317,166,2853,1,212
tdr0vvz,317,166,2853,1,212
tdr0vw0,317,166,2853,1,212
tdr0vw1,317,166,2853,1,212
tdr0vw2,317,166,2853,1,212
tdr0vw3,317,166,2853,1,212
tdr0vw4,317,166,2853,1,212
tdr0vw5,317,166,2853,1,212
tdr0vw6,317,166,2853,1,212
tdr0vw7,317,166,2853,1,212
tdr0vw8,317,166,2853,1,212
tdr0vw9,317,166,2853,1,212
tdr0vwb,317,166,2853,1,212
tdr0vwc,317,166,2853,1,212
tdr0vwd,317,166,2853,1,212
tdr0vwe,317,166,2853,1,212
tdr0vwf,317,166,2853,1,212
tdr0vwg,317,166,2853,1,212
tdr0vwh,317,166,2853,1,212
tdr0vwj,317,166,2853,1,212
tdr0vwk,317,166,2853,1,212
tdr0vwm,317,166,2853,1,212
tdr0vwn,317,166,2853,1,212
tdr0vwp,317,166,2853,1,212
tdr0vwq,317,166,2853,1,212
tdr0vwr,317,166,2853,1,212
tdr0vws,317,166,2853,1,212
tdr0vwt,317,166,2853,1,212
tdr0vwu,317,166,2853,1,212
tdr0vwv,317,166,2853,1,212
tdr0vww,317,166,2853,1,212
tdr0vwx,317,166,2853,1,212
tdr0vwy,317,166,2853,1,212
tdr0vwz,317,166,2853,1,212
tdr0vx0,317,166,2853,1,212
tdr0vx1,317,166,2853,1,212
tdr0vx2,317,166,2853,1,212
tdr0vx3,317,166,2853,1,212
tdr0vx4,317,166,2853,1,212
tdr0vx5,317,166,2853,1,212
tdr0vx6,317,166,2853,1,212
tdr0vx7,317,166,2853,1,212
tdr0vx8,317,166,2853,1,212
tdr0vx9,317,166,2853,1,212
tdr0vxb,317,166,2853,1,212
tdr0vxc,317,166,2853,1,212
tdr0vxd,317,166,2853,1,212
tdr0vxe,317,166,2853,1,212
tdr0vxf,317,166,2853,1,212
tdr0vxg,317,166,2853,1,212
tdr0vxh,317,166,2853,1,212
tdr0vxj,317,166,2853,1,212
tdr0vxk,317,166,2853,1,212
tdr0vxm,317,166,2853,1,212
tdr0vxn,317,166,2853,1,212
tdr0vxp,317,166,2853,1,212
tdr0vxq,317,166,2853,1,212
tdr0vxr,317,166,2853,1,212
tdr0vxs,317,166,2853,1,212
tdr0vxt,317,166,2853,1,212
tdr0vxu,317,166,2853,1,212
tdr0vxv,317,166,2853,1,212
tdr0vxw,317,166,2853,1,212
tdr0vxx,317,166,2853,1,212
tdr0vxy,317,166,2853,1,212
tdr0vxz,317,166,2853,1,212
tdr0vy0,317,166,2853,1,212
tdr0vy1,317,166,2853,1,212
tdr0vy2,317,166,2853,1,212
tdr0vy3,317,166,2853,1,212
tdr0vy4,317,166,2853,1,212
tdr0vy5,317,166,2853,1,212
tdr0vy6,317,166,2853,1,212
tdr0vy7,317,166,2853,1,212
tdr0vy8,317,166,2853,1,212
tdr0vy9,317,166,2853,1,212
tdr0vyb,317,166,2853,1,212
tdr0vyc,317,166,2853,1,212
tdr0vyd,317,166,2853,1,212
tdr0vye,317,166,2853,1,212
tdr0vyf,317,166,2853,1,212
tdr0vyg,317,166,2853,1,212
tdr0vyh,317,166,2853,1,212
tdr0vyj,317,166,2853,1,212
tdr0vyk,317,166,2853,1,212
tdr0vym,317,166,2853,1,212
tdr0vyn,317,166,2853,1,212
tdr0vyp,317,166,2853,1,212
tdr0vyq,317,166,2853,1,212
tdr0vyr,317,166,2853,1,212
tdr0vys,317,166,2853,1,212
tdr0vyt,317,166,2853,1,212
tdr0vyu,317,166,2853,1,212
tdr0vyv,317,166,2853,1,212
tdr0vyw,317,166,2853,1,212
tdr0vyx,317,166,2853,1,212
tdr0vyy,317,166,2853,1,212
tdr0vyz,317,166,2853,1,212
tdr0vz0,317,166,2853,1,212
tdr0vz1,317,166,2853,1,212
tdr0vz2,317,166,2853,1,212
tdr0vz3,317,166,2853,1,212
tdr0vz4,317,166,2853,1,212
tdr0vz5,317,166,2853,1,212
tdr0vz6,317,166,2853,1,212
tdr0vz7,317,166,2853,1,212
tdr0vz8,317,166,2853,1,212
tdr0vz9,317,166,2853,1,212
tdr0vzb,317,166,2853,1,212
tdr0vzc,317,166,2853,1,212
tdr0vzd,317,166,2853,1,212
tdr0vze,317,166,2853,1,212
tdr0vzf,317,166,2853,1,212
tdr0vzg,317,166,2853,1,212
tdr0vzh,317,166,2853,1,212
tdr0vzj,317,166,2853,1,212
tdr0vzk,317,166,2853,1,212
tdr0vzm,317,166,2853,1,212
tdr0vzn,317,166,2853,1,212
tdr0vzp,317,166,2853,1,212
tdr0vzq,317,166,2853,1,212
tdr0vzr,317,166,2853,1,212
tdr0vzs,317,166,2853,1,212
tdr0vzt,317,166,2853,1,212
tdr0vzu,317,166,2853,1,212
tdr0vzv,317,166,2853,1,212
tdr0vzw,317,166,2853,1,212
tdr0vzx,317,166,2853,1,212
tdr0vzy,317,166,2853,1,212
tdr0vzz,317,166,2853,1,212
tdr0yj0,215,0,1995,1,182
tdr0yj1,215,0,1995,1,182
tdr0yj2,215,0,1995,1,182
tdr0yj3,215,0,1995,1,182
tdr0yj4,215,0,1995,1,182
tdr0yj5,215,0,1995,1,182
tdr0yj6,215,0,1995,1,182
tdr0yj7,215,0,1995,1,182
tdr0yj8,215,0,1995,1,182
tdr0yj9,215,0,1995,1,182
tdr0yjb,317,166,2853,1,212
tdr0yjc,215,0,1995,1,182
tdr0yjd,215,0,1995,1,182
tdr0yje,215,0,1995,1,182
tdr0yjf,215,0,1995,1,182
tdr0yjg,215,0,1995,1,182
tdr0yjh,215,0,1995,1,182
tdr0yjj,215,0,1995,1,182
tdr0yjk,215,0,1995,1,182
tdr0yjm,215,0,1995,1,182
tdr0yjn,215,0,1995,1,182
tdr0yjp,215,0,1995,1,182
tdr0yjq,215,0,1995,1,182
tdr0yjr,215,0,1995,1,182
tdr0yjs,215,0,1995,1,182
tdr0yjt,215,0,1995,1,182
tdr0yju,215,0,1995,1,182
tdr0yjv,215,0,1995,1,182
tdr0yjw,215,0,1995,1,182
tdr0yjx,215,0,1995,1,182
tdr0yjy,215,0,1995,1,182
tdr0yjz,215,0,1995,1,182
tdr0ym0,215,0,1995,1,182
tdr0ym1,215,0,1995,1,182
tdr0ym2,215,0,1995,1,182
