id,cluster_sub_cat_count,cluster_product_count,geo_product_count,geo_sub_cat_count,cluster_id,clusters_count
tdr1xn4,153,4658,7944,169,100005-100036,23
tdr1xn3,153,4955,7944,169,100034-100036,23
tdr1xn3,152,4870,7944,169,100034-100050,23
tdr1xn2,153,4955,7944,169,100034-100036,23
tdr1xn2,152,4870,7944,169,100034-100050,23
tdr1xmr,143,4397,7536,168,100005-100041,12
tdr1xmr,138,3803,7536,168,100034,12
tdr1xmq,143,4397,7536,168,100005-100041,12
tdr1xmq,138,3803,7536,168,100034,12
tdr1xn1,153,4955,7944,169,100034-100036,22
tdr1xn1,153,4658,7944,169,100005-100036,22
tdr1xnd,153,4955,7944,169,100034-100036,24
tdr1xnd,152,4870,7944,169,100034-100050,24
tdr1xnc,153,4955,7944,169,100034-100036,23
tdr1xnc,152,4870,7944,169,100034-100050,23
tdr1xnb,153,4955,7944,169,100034-100036,24
tdr1xnb,152,4948,7944,169,100034-100051,24
tdr1xn9,153,4955,7944,169,100034-100036,23
tdr1xn9,152,4870,7944,169,100034-100050,23
tdr1xn8,153,4955,7944,169,100034-100036,23
tdr1xn8,152,4870,7944,169,100034-100050,23
tdr1xn7,156,5945,8387,169,100006-100034-100036,27
tdr1xn7,144,5218,8387,169,100006-100034,27
tdr1xn6,153,4955,7944,169,100034-100036,23
tdr1xn6,153,4658,7944,169,100005-100036,23
tdr1xnm,156,5945,8387,169,100006-100034-100036,24
tdr1xnm,144,5218,8387,169,100006-100034,24
tdr1xnk,156,5945,8387,169,100006-100034-100036,25
tdr1xnk,144,5218,8387,169,100006-100034,25
tdr1xnj,144,5218,8387,169,100006-100034,22
tdr1xnj,153,4955,8387,169,100034-100036,22
tdr1xnh,156,5945,8387,169,100006-100034-100036,25
tdr1xnh,144,5218,8387,169,100006-100034,25
tdr1xpt,157,4973,8014,172,100034-100039,22
tdr1xpt,153,4955,8014,172,100034-100036,22
tdr1xps,153,4955,8014,172,100034-100036,22
tdr1xps,152,4870,8014,172,100034-100050,22
tdr1xpz,157,4973,7849,171,100034-100039,21
tdr1xpz,153,4955,7849,171,100034-100036,21
tdr1xqe,143,4397,7536,168,100005-100041,12
tdr1xqe,138,3803,7536,168,100034,12
tdr1xqd,143,4397,7536,168,100005-100041,12
tdr1xqd,138,3803,7536,168,100034,12
tdr1xqc,143,4397,7536,168,100005-100041,12
tdr1xqc,138,3803,7536,168,100034,12
tdr1xpv,157,4973,8014,172,100034-100039,23
tdr1xpv,153,4955,8014,172,100034-100036,23
tdr1xpu,157,4973,8438,181,100034-100039,16
tdr1xpu,152,4870,8438,181,100034-100050,16
tdr1xqb,143,4397,7536,168,100005-100041,12
tdr1xqb,138,3803,7536,168,100034,12
tdr1xqn,143,4397,7536,168,100005-100041,12
tdr1xqn,138,3803,7536,168,100034,12
tdr1xqm,143,4397,7536,168,100005-100041,12
tdr1xqm,138,3803,7536,168,100034,12
tdr1xqk,143,4397,7536,168,100005-100041,12
tdr1xqk,138,3803,7536,168,100034,12
